hedge_fund,date,¥«­È,¥[½X,´î½X,XIRR
Yacktman Asset Management,2021/5/17,8460739088,974885833,539572360.6,0.105106236
Yacktman Asset Management,2021/8/16,8674810497,400501052.1,269742915.4,0.103970304
Yacktman Asset Management,2021/11/15,9187751327,272890081.5,340780518.6,0.106995572
Yacktman Asset Management,2022/2/14,9413654626,230856739,265498976.2,0.107189893
Yacktman Asset Management,2022/5/16,8545508896,148633181.4,459723316.5,0.101008258
Yacktman Asset Management,2022/8/15,8578613958,163475500.9,177100557.9,0.099772458
Yacktman Asset Management,2022/11/14,9063699949,1374990242,748052892.5,0.097154208
Yacktman Asset Management,2023/2/14,9150339787,275807236.5,411072951,0.097209831
Yacktman Asset Management,2023/5/15,8929120420,283743992.7,116534857.7,0.092881522
Yacktman Asset Management,2023/8/14,9459508215,30578565.45,137154549.3,0.095937198
Yacktman Asset Management,2023/11/14,8940956836,35253708.21,391001929.7,0.09335931
Yacktman Asset Management,2024/1/9,9372911765,0,0,0.095392813
Donald Smith,2014/2/14,4315197134,0,0,0
Donald Smith,2014/5/15,4951074294,162127250.4,219374117.8,0.829616603
Donald Smith,2014/8/14,5047882389,894188851.7,1130789140,0.541584921
Donald Smith,2014/11/14,4381414766,480445461.4,295656683.8,0.056206025
Donald Smith,2015/2/17,4419307642,440218899.2,118512256.6,-0.025640619
Donald Smith,2015/5/15,4521160929,165911672.4,145222485.7,-0.005155198
Donald Smith,2015/8/14,3599194815,97395056.72,258807230.5,-0.126066371
Donald Smith,2015/11/16,3097993587,188097172.3,174082349.2,-0.184655527
Donald Smith,2016/2/16,2537277675,234723520.2,110210996.3,-0.262827212
Donald Smith,2016/5/16,2926439705,62008118.65,238252316,-0.160733913
Donald Smith,2016/8/15,2854638707,128010294.7,380230414.8,-0.125505507
Donald Smith,2016/11/14,3044402902,92068770.75,65947355.99,-0.098904194
Donald Smith,2017/2/14,3681186366,338821039.6,226127887.1,-0.044835462
Donald Smith,2017/5/15,3300918886,155518084.3,290468602.9,-0.06131629
Donald Smith,2017/8/14,3632047329,418206365,43784845.8,-0.060662911
Donald Smith,2017/11/14,3684216074,95975854.33,260615065.3,-0.041088471
Donald Smith,2018/2/14,3670414069,386700425.4,390068844.7,-0.039228927
Donald Smith,2018/5/15,3885082223,201937802.5,348649562.6,-0.015455204
Donald Smith,2018/8/14,3414666294,191816588.2,302869081.2,-0.034935143
Donald Smith,2018/11/14,2948450328,128240973.8,96797236.5,-0.06266028
Donald Smith,2019/2/14,2774341281,118889564.6,126048254.8,-0.07002264
Donald Smith,2019/5/15,2216807517,9943225.49,487379554.4,-0.071916109
Donald Smith,2019/8/14,2009866752,46191059.83,211259492.2,-0.071976961
Donald Smith,2019/11/14,2028434010,185253865,330890151.2,-0.060299273
Donald Smith,2020/2/14,2033860971,61422991.49,171525732.2,-0.052336783
Donald Smith,2020/5/15,1381487828,106465577.2,77523199.8,-0.09051755
Donald Smith,2020/8/14,1675191186,62869145.49,269088382.9,-0.059020274
Donald Smith,2020/11/16,1650407824,103071747.4,260226635.3,-0.050820644
Donald Smith,2021/2/16,1877961431,39885861,144363470.2,-0.03414365
Donald Smith,2021/5/17,1947064614,83406200.92,263377501.4,-0.022923017
Donald Smith,2021/8/16,1805587131,85603075.58,52421018.13,-0.029645228
Donald Smith,2021/11/15,2068251803,102059923.3,56638216.35,-0.020369651
Donald Smith,2022/2/14,2178810274,201744419.9,91147449.05,-0.019967141
Donald Smith,2022/5/16,1993744287,285118287.8,333106299.7,-0.024793411
Donald Smith,2022/8/15,2143523978,209037017.1,152221252.8,-0.020803369
Donald Smith,2022/11/14,2257525042,61775888.75,52926130.49,-0.016616044
Donald Smith,2023/2/14,2436625877,148203729.7,216622663.1,-0.008024178
Donald Smith,2023/5/15,2304655498,96346652.98,149507411.2,-0.01038827
Donald Smith,2023/8/14,2543014521,68023042,133570314.7,-0.000971813
Donald Smith,2023/11/14,2463849775,105412355.1,121184889.5,-0.002778854
Donald Smith,2024/1/9,2805945827,0,0,0.006628596
Chou Associates Management,2014/2/14,150617315.4,0,0,0
Chou Associates Management,2014/5/15,126943560.7,125845.5,1714900,-0.474311941
Chou Associates Management,2014/8/14,204473116.7,72290933.57,0,-0.213830807
Chou Associates Management,2014/11/14,219850142.8,0,4284947.61,0.021722469
Chou Associates Management,2015/2/17,142966423.1,0,73108382.69,-0.005141514
Chou Associates Management,2015/5/15,118216049.5,0,0,-0.117941678
Chou Associates Management,2015/8/14,103129346.7,0,0,-0.166173314
Chou Associates Management,2015/11/16,87670681.68,2818198.22,0,-0.221179594
Chou Associates Management,2016/2/16,68680333.16,1817634.39,1330760,-0.279804292
Chou Associates Management,2016/5/16,102852429.7,26543898.22,0,-0.227130391
Chou Associates Management,2016/8/15,120474802.1,12046100,0,-0.185161
Chou Associates Management,2016/11/14,105838433,0,0,-0.213214592
Chou Associates Management,2017/2/14,117473579.6,7995306.6,345900,-0.181880986
Chou Associates Management,2017/5/15,117890422.9,5399820,1217410,-0.176548997
Chou Associates Management,2017/8/14,132506781,9814000,0,-0.150066461
Chou Associates Management,2017/11/14,160214032.9,0,16510432.85,-0.050326223
Chou Associates Management,2018/2/14,92302089.25,0,70774378.21,-0.042264831
Chou Associates Management,2018/5/15,134077511.6,31875000,0,-0.025639328
Chou Associates Management,2018/8/14,158804868.1,12888049.41,305925.6,-0.007693433
Chou Associates Management,2018/11/14,192851116.6,37746804.33,8664299.5,-0.001076731
Chou Associates Management,2019/2/14,164963807.3,438600,2618811.14,-0.033035825
Chou Associates Management,2019/5/15,152001998.9,0,2053000,-0.045491645
Chou Associates Management,2019/8/14,126552363.3,0,10843200,-0.06271002
Chou Associates Management,2019/11/14,117940915.3,0,22912400,-0.041701557
Chou Associates Management,2020/2/14,104938109.2,0,11078600,-0.042493735
Chou Associates Management,2020/5/15,57618270.79,0,7355300,-0.094841838
Chou Associates Management,2020/8/14,67428653.15,0,2658100,-0.074378299
Chou Associates Management,2020/11/16,81374061.59,0,0,-0.054618535
Chou Associates Management,2021/2/16,129398571.2,0,4597540.13,-0.000548841
Chou Associates Management,2021/5/17,157711745.5,8927671.17,0,0.014784464
Chou Associates Management,2021/8/16,116563067.9,349080,26083981.57,0.002652357
Chou Associates Management,2021/11/15,108844838.3,0,7229270,0.002214789
Chou Associates Management,2022/2/14,80744156.05,0,29506340,0.003230969
Chou Associates Management,2022/5/16,70061791.84,0,2334100,-0.00315487
Chou Associates Management,2022/8/15,83032325.26,2423019.4,5511500,0.008642508
Chou Associates Management,2022/11/14,61236395.46,0,23778380.48,0.009875626
Chou Associates Management,2023/2/14,27354994.71,9250224.53,45003761.5,0.011024696
Chou Associates Management,2023/5/15,21551379.53,4423742.82,0,0.004004336
Chou Associates Management,2023/8/14,26726470.92,320416,0,0.007336793
Chou Associates Management,2023/11/14,23044287.59,0,0,0.004788532
Chou Associates Management,2024/1/9,25828079.26,0,0,0.006677956
Peconic Partners,2014/2/14,778436388.5,0,0,0
Peconic Partners,2014/5/15,745360235,143144131.7,268930124.9,0.578289298
Peconic Partners,2014/8/14,561971448.5,68764589.5,236504792.6,0.228649775
Peconic Partners,2014/11/14,504924012.8,69079747.82,83977549.78,0.073673202
Peconic Partners,2015/2/17,406638775.4,116094608,223639048.3,0.073392376
Peconic Partners,2015/5/15,498151567.3,166762921.7,66453431.01,0.05104472
Peconic Partners,2015/8/14,478406181.7,59117791.7,116699980.8,0.088739644
Peconic Partners,2015/11/16,542589211.1,90240017.6,28682762.6,0.080609064
Peconic Partners,2016/2/16,300623959.5,7531818.12,128013907.4,-0.045908938
Peconic Partners,2016/5/16,396085147.7,114777718.7,118740929.3,0.046835479
Peconic Partners,2016/8/15,509037319.8,108406781.9,86697867.1,0.110150299
Peconic Partners,2016/11/14,645251685.6,172289726.1,58960742.15,0.116033118
Peconic Partners,2017/2/14,658803020.6,173467610.9,176278139.5,0.115069826
Peconic Partners,2017/5/15,701289713.2,119081328.6,116513430,0.125899658
Peconic Partners,2017/8/14,559960709.6,134063406.5,206569164.5,0.084357454
Peconic Partners,2017/11/14,498908412.4,48319797.39,142040742.9,0.093716269
Peconic Partners,2018/2/14,396346875.2,103432883.2,218265828.8,0.094073658
Peconic Partners,2018/5/15,468867279.6,184787170.7,117579103.5,0.09269917
Peconic Partners,2018/8/14,487562697.3,79187744.12,22427345.92,0.074524213
Peconic Partners,2018/11/14,367628866.1,31763216.86,156291467.2,0.072946528
Peconic Partners,2019/2/14,434819951.4,92228952.77,17430284.54,0.067941961
Peconic Partners,2019/5/15,556170728.2,163603490.8,72751217.65,0.075724209
Peconic Partners,2019/8/14,517932939.8,47314309.76,106005050.7,0.078854041
Peconic Partners,2019/11/14,441736177.9,204830223.2,351378212.1,0.095474572
Peconic Partners,2020/2/14,368884477.6,74737531.96,154971293.8,0.094746349
Peconic Partners,2020/5/15,219186798.3,22921322.71,92856515.85,0.072037911
Peconic Partners,2020/8/14,411424744,106348335,35003462.85,0.10061781
Peconic Partners,2020/11/16,642426786.9,134160132.6,40720980.99,0.125876481
Peconic Partners,2021/2/16,830110363,200100004.5,121737424,0.140807014
Peconic Partners,2021/5/17,999358395.5,133799393.9,147531803.3,0.162520706
Peconic Partners,2021/8/16,1053314901,109944250.1,55185195.19,0.157670203
Peconic Partners,2021/11/15,1217442482,138039213.7,155254631.6,0.173621174
Peconic Partners,2022/2/14,1087882117,85595534.38,79752330.84,0.153937824
Peconic Partners,2022/5/16,1120465222,116302142.2,120710044,0.153665188
Peconic Partners,2022/8/15,1544285467,224784928.4,46516060.23,0.172918354
Peconic Partners,2022/11/14,1604822235,227379162,134214670.3,0.164877574
Peconic Partners,2023/2/14,1688146729,94187301.72,75692774,0.165031298
Peconic Partners,2023/5/15,1742849541,120155241.5,114387061.7,0.163821281
Peconic Partners,2023/8/14,1955967939,163698029.7,189102384.4,0.175551002
Peconic Partners,2023/11/14,1661841651,20334986.06,128665410.4,0.158040361
Peconic Partners,2024/1/9,1943425708,0,0,0.173535305
RR Advisors,2014/2/14,461033810,0,0,0
RR Advisors,2014/5/15,591240850,121210080,179030550,3.00372974
RR Advisors,2014/8/14,622689440,110077600,67642980,0.992387817
RR Advisors,2014/11/14,543236110,129103760,85534780,0.168712069
RR Advisors,2015/2/17,546025080,43489380,86947850,0.221123086
RR Advisors,2015/5/15,554409520,170663740,185739300,0.215721686
RR Advisors,2015/8/14,476223450,126976130,109389190,0.04145751
RR Advisors,2015/11/16,432217450,124865400,66096990,-0.099296186
RR Advisors,2016/2/16,327045200,95202720,41224880,-0.300835681
RR Advisors,2016/5/16,516584550,32155820,77996460,0.001342124
RR Advisors,2016/8/15,641049860,119647600,80554130,0.070188579
RR Advisors,2016/11/14,741768080,188670310,117672400,0.082845668
RR Advisors,2017/2/14,668082840,70640060,291857270,0.155896054
RR Advisors,2017/5/15,616637810,134489820,86352650,0.094676888
RR Advisors,2017/8/14,584746600,73020030,62907310,0.06707763
RR Advisors,2017/11/14,539199290,23617930,67476430,0.061751115
RR Advisors,2018/2/14,535040620,49694950,36618760,0.050397252
RR Advisors,2018/5/15,581228000,40582390,39065000,0.066179298
RR Advisors,2018/8/14,689935940,123419210,27047120,0.067298702
RR Advisors,2018/11/14,771754190,139483650,19692640,0.049565274
RR Advisors,2019/2/14,705778690,85088330,54490070,0.010523315
RR Advisors,2019/5/15,774686620,130708490,33844110,-0.000764202
RR Advisors,2019/8/14,600746380,45714340,32568860,-0.08026226
RR Advisors,2019/11/14,580895820,69756990,45750160,-0.095781551
RR Advisors,2020/2/14,539065850,30944360,70041750,-0.090109055
RR Advisors,2020/5/15,211703810,17814930,74066770,-0.262435201
RR Advisors,2020/8/14,255959560,97895070,61173180,-0.239862028
RR Advisors,2020/11/16,268601660,55602350,18954680,-0.246000307
RR Advisors,2021/2/16,339537400,22633560,27240920,-0.173425996
RR Advisors,2021/5/17,415278940,20288910,21028570,-0.123182765
RR Advisors,2021/8/16,398712940,18412560,21844640,-0.12306366
RR Advisors,2021/11/15,467319920,50367830,50092270,-0.089577058
RR Advisors,2022/2/14,462185900,26062990,60588640,-0.07552118
RR Advisors,2022/5/16,515218810,89391100,55782610,-0.066480957
RR Advisors,2022/8/15,529814950,51457370,45000390,-0.061461732
RR Advisors,2022/11/14,546213170,40806720,60773210,-0.049247804
RR Advisors,2023/2/14,557482210,39132460,45594330,-0.043076165
RR Advisors,2023/5/15,489566440,35582840,64806080,-0.051127714
RR Advisors,2023/8/14,496902520,10959060,41700220,-0.040498048
RR Advisors,2023/11/14,523104620,20118740,12061060,-0.035347991
RR Advisors,2024/1/9,532132950,0,0,-0.032824039
Lodge Hill Capital,2014/2/14,166610159.7,0,0,0
Lodge Hill Capital,2014/5/15,241634432.7,152341516.3,75970253.5,-0.032385106
Lodge Hill Capital,2014/8/14,315086731.8,141310729.3,67895567.12,-0.012838862
Lodge Hill Capital,2014/11/14,254897809.6,112127948,181411565.2,0.043237813
Lodge Hill Capital,2015/2/17,340781486.1,184595989,101358199.9,0.042511705
Lodge Hill Capital,2015/5/15,317991381.2,131441159.2,154471653.4,0.032822512
Lodge Hill Capital,2015/8/14,322409712.2,179161102,177897456.5,0.034261308
Lodge Hill Capital,2015/11/16,296872999,150470986,147152374.8,-0.031578543
Lodge Hill Capital,2016/2/16,248039871,109432758,115833352,-0.107703289
Lodge Hill Capital,2016/5/16,413468181.6,187607760,72579204,-0.011198964
Lodge Hill Capital,2016/8/15,499321434.7,258515324,196091670,0.021836078
Lodge Hill Capital,2016/11/14,459832603.9,183521250,251497376.5,0.050365549
Lodge Hill Capital,2017/2/14,517259563,283368210,270993842,0.086937609
Lodge Hill Capital,2017/5/15,652004487,341997214,218159408,0.087069377
Lodge Hill Capital,2017/8/14,592545744.1,362080870,403890053.5,0.064634697
Lodge Hill Capital,2017/11/14,629741659.1,196417729,200098471.3,0.084725942
Lodge Hill Capital,2018/2/14,645109843,365686385,384588982.3,0.096491347
Lodge Hill Capital,2018/5/15,571603428.7,196378375,272708169.9,0.090504757
Lodge Hill Capital,2018/8/14,378420400.6,171732965,360653825,0.082694044
Lodge Hill Capital,2018/11/14,312011654.4,151013600.2,204089390.7,0.073249057
Lodge Hill Capital,2019/2/14,283560686.7,92093239.25,139944453.1,0.079174154
Lodge Hill Capital,2019/5/15,259674587,43080683.4,76454994.35,0.080838938
Lodge Hill Capital,2019/8/14,295301985.1,134157675.1,101509188.6,0.080024416
Lodge Hill Capital,2019/11/14,277043514.9,76948727.7,147977478,0.096810953
Lodge Hill Capital,2020/2/14,275463493.2,98640370.2,118086423.7,0.100515057
Lodge Hill Capital,2020/5/15,169763025.6,69254892.29,80354172.95,0.066356602
Lodge Hill Capital,2020/8/14,236071591.9,55145787.7,55449448.1,0.087861996
Lodge Hill Capital,2020/11/16,241956447.4,79627230,107277555.3,0.096318848
Lodge Hill Capital,2021/2/16,265596446.6,107920246.5,136830726.9,0.108953441
Lodge Hill Capital,2021/5/17,198444444.8,97107282.51,224792436.9,0.121810978
Lodge Hill Capital,2021/8/16,253007482.5,117687525.8,66164442.08,0.121205032
Lodge Hill Capital,2021/11/15,267195581.3,60873724.8,67224877.66,0.124000883
Lodge Hill Capital,2022/2/14,327645890.3,119319199,45856250,0.119732762
Lodge Hill Capital,2022/5/16,163613351.2,45090096,200280433.8,0.116068153
Lodge Hill Capital,2022/8/15,310131930.4,172070941.8,35854300,0.117198227
Lodge Hill Capital,2022/11/14,282097520,50265294.24,70585047.4,0.114083877
Lodge Hill Capital,2023/2/14,289340787.6,91902970,114914689.6,0.118165506
Lodge Hill Capital,2023/5/15,234229816.8,47256637.4,83464214.5,0.11343371
Lodge Hill Capital,2023/8/14,255590839.1,70873848.64,97954539.15,0.120469342
Lodge Hill Capital,2023/11/14,255367890.7,88205450,74551292.89,0.117094292
Lodge Hill Capital,2024/1/9,286003883.7,0,0,0.121145187
Contrarian Capital Management,2014/2/14,240061255,0,0,0
Contrarian Capital Management,2014/5/15,199848961.8,16731259.21,50677466.4,-0.101711801
Contrarian Capital Management,2014/8/14,229930259,40035162.15,33723697.41,0.164362231
Contrarian Capital Management,2014/11/14,313246147.2,84861599.51,5329435.23,0.131607303
Contrarian Capital Management,2015/2/17,304231734.6,32977064.78,56462637.4,0.149289291
Contrarian Capital Management,2015/5/15,245134116.4,3331227.97,67206835.39,0.131710706
Contrarian Capital Management,2015/8/14,235086600.2,4217348.11,20749296.29,0.128536404
Contrarian Capital Management,2015/11/16,236373984,12742988.43,13210077.04,0.115669556
Contrarian Capital Management,2016/2/16,150016896.9,5797808.25,10759067.36,-0.07542243
Contrarian Capital Management,2016/5/16,125054756.2,4281968.15,22734831.88,-0.083636054
Contrarian Capital Management,2016/8/15,129348244.3,31914490.67,3223695.85,-0.132621179
Contrarian Capital Management,2016/11/14,129479500.6,41025473.46,44808133.11,-0.114032402
Contrarian Capital Management,2017/2/14,277974023.9,130169069.7,6636359.21,-0.058432512
Contrarian Capital Management,2017/5/15,220877231,28743614.17,57352041.13,-0.099974854
Contrarian Capital Management,2017/8/14,407167634.6,191889078.1,10560528.29,-0.082641607
Contrarian Capital Management,2017/11/14,467092338.2,76088750.27,39166932.72,-0.041250218
Contrarian Capital Management,2018/2/14,676018849.5,156350921.2,25026847.8,0.03939413
Contrarian Capital Management,2018/5/15,1049375186,283610099.5,6937093.59,0.103207624
Contrarian Capital Management,2018/8/14,1037786066,74355719.09,129281135.5,0.112669151
Contrarian Capital Management,2018/11/14,952312570.1,63333449.45,48092924.02,0.047485396
Contrarian Capital Management,2019/2/14,955912670.8,38350910.45,40291195.29,0.04475048
Contrarian Capital Management,2019/5/15,893694411.1,61922491.54,1647451.79,-0.017516661
Contrarian Capital Management,2019/8/14,689745510.6,40042687.08,83589248.28,-0.097053327
Contrarian Capital Management,2019/11/14,533255298.7,24964680.08,146710508.1,-0.106172042
Contrarian Capital Management,2020/2/14,515601223.4,68327618.69,139653014.1,-0.072902365
Contrarian Capital Management,2020/5/15,159205768.3,49934.98,81590059.06,-0.220970763
Contrarian Capital Management,2020/8/14,212232726.8,1909912,12494669.25,-0.171776098
Contrarian Capital Management,2020/11/16,238666719.5,6576447.96,3671092.7,-0.151791339
Contrarian Capital Management,2021/2/16,306080913.9,33851734.92,50015945.62,-0.103802094
Contrarian Capital Management,2021/5/17,397881244.5,16012588.18,3905130.52,-0.066806331
Contrarian Capital Management,2021/8/16,451320213,54623369.05,4320030.69,-0.063079183
Contrarian Capital Management,2021/11/15,373219271.3,31073366.13,28484980.82,-0.091629628
Contrarian Capital Management,2022/2/14,499984486.5,65087754.1,19288505.66,-0.057952833
Contrarian Capital Management,2022/5/16,518172578.3,27216010.24,22761554.63,-0.051055255
Contrarian Capital Management,2022/8/15,445304076.4,18170301.31,44932045.05,-0.063762478
Contrarian Capital Management,2022/11/14,390306773.8,3123455.3,70046676.38,-0.05759844
Contrarian Capital Management,2023/2/14,332868641.7,10640520.77,88867700.32,-0.049568394
Contrarian Capital Management,2023/5/15,284574080.6,10270825.28,16635779.87,-0.060981812
Contrarian Capital Management,2023/8/14,292500292.4,2284605.68,9977098.96,-0.054870128
Contrarian Capital Management,2023/11/14,276681666.2,3493754.05,16364068.87,-0.054520745
Contrarian Capital Management,2024/1/9,302201751.7,0,0,-0.046574582
Dalal Street Holdings,2014/2/14,141346673.8,0,0,0
Dalal Street Holdings,2014/5/15,90012175.52,806586.05,37435320,-0.359523709
Dalal Street Holdings,2014/8/14,172873827.8,79227459.36,0,-0.173893214
Dalal Street Holdings,2014/11/14,140557761.3,0,29727510.68,-0.124776911
Dalal Street Holdings,2015/2/17,203528292.2,132287491.6,60904246.72,-0.149169946
Dalal Street Holdings,2015/5/15,198101238.2,39653066.5,53902704.69,-0.066095199
Dalal Street Holdings,2015/8/14,180469382.6,0,55216,-0.123974878
Dalal Street Holdings,2015/11/16,156334995.6,0,46640,-0.188259968
Dalal Street Holdings,2016/2/16,88847622.6,2397364.2,38048303.2,-0.269060344
Dalal Street Holdings,2016/5/16,187679043.2,80314709.46,15143.9,-0.187178724
Dalal Street Holdings,2016/8/15,198264930.4,23811704,10156030.54,-0.169811075
Dalal Street Holdings,2016/11/14,215708170.9,22486458,21198333,-0.111649206
Dalal Street Holdings,2017/2/14,235997528.6,2204209.5,50494403.85,0.021860273
Dalal Street Holdings,2017/5/15,235643353,17186505,20217502.89,0.023917187
Dalal Street Holdings,2017/8/14,273820278.4,11141503.4,1261803.46,0.058462114
Dalal Street Holdings,2017/11/14,345618316.6,2384862.5,0,0.126921914
Dalal Street Holdings,2018/2/14,387807796.8,0,13760247,0.164935695
Dalal Street Holdings,2018/5/15,346744812.6,0,62930435.95,0.16996715
Dalal Street Holdings,2018/8/14,257697889.1,0,0,0.095455352
Dalal Street Holdings,2018/11/14,219056570.1,0,44818394.66,0.095595931
Dalal Street Holdings,2019/2/14,214132459.1,22633997.33,159650.4,0.07155908
Dalal Street Holdings,2019/5/15,250100659.5,43770971.89,0,0.063018172
Dalal Street Holdings,2019/8/14,241515468.1,3708262.4,3063980,0.053508776
Dalal Street Holdings,2019/11/14,222505391.7,377722.8,65573000.64,0.08185311
Dalal Street Holdings,2020/2/14,220536579.6,2053922.56,6790476.8,0.080856441
Dalal Street Holdings,2020/5/15,83403684.62,0,60236004.68,0.028852234
Dalal Street Holdings,2020/8/14,139990049.5,57718575.12,7732111.65,0.033116268
Dalal Street Holdings,2020/11/16,182451608.3,4419.28,0,0.059056398
Dalal Street Holdings,2021/2/16,249262413,568.85,0,0.091653251
Dalal Street Holdings,2021/5/17,233818144.8,35561712.66,21224764.65,0.07532558
Dalal Street Holdings,2021/8/16,228425860.3,16627430,0,0.06254512
Dalal Street Holdings,2021/11/15,203996344.7,2111184,33673760.28,0.064309909
Dalal Street Holdings,2022/2/14,199682855,22506457.38,17885414.32,0.058586671
Dalal Street Holdings,2022/5/16,130573016.9,0,28905252.75,0.0369091
Dalal Street Holdings,2022/8/15,118046840.2,0,206390.44,0.029485735
Dalal Street Holdings,2022/11/14,119743988.4,6737923.11,0,0.026173883
Dalal Street Holdings,2023/2/14,143142643.4,27940444.48,0,0.023171639
Dalal Street Holdings,2023/5/15,122860818.1,1852995,22347065.14,0.022837539
Dalal Street Holdings,2023/8/14,84487947.21,84487947.21,128914491.3,0.025727902
Dalal Street Holdings,2023/11/14,153036716.3,48677921.77,0,0.035361525
Dalal Street Holdings,2024/1/9,214891773.1,0,0,0.060581905
Duquesne Family Office,2014/2/14,782136733,0,0,0
Duquesne Family Office,2014/5/15,354777293.3,243377476,673206769.7,0.012868665
Duquesne Family Office,2014/8/14,672570514.2,477505657.1,179347127,0.080018311
Duquesne Family Office,2014/11/14,490447090.9,291202548,473534366,0.050451206
Duquesne Family Office,2015/2/17,842304337.2,499781891,182801177,0.100566828
Duquesne Family Office,2015/5/15,596280462.8,266960780.5,532456916.6,0.100582612
Duquesne Family Office,2015/8/14,824688456,537525568,269146614.3,0.041115082
Duquesne Family Office,2015/11/16,779894755.2,318502637,363553217.5,0.033625716
Duquesne Family Office,2016/2/16,437937315.2,81202999,379642508,-0.005171957
Duquesne Family Office,2016/5/16,846909620.7,547806119,194486113,0.034742626
Duquesne Family Office,2016/8/15,615338396.9,352631130.4,624027317,0.054103449
Duquesne Family Office,2016/11/14,722391799.2,409358475,358273045,0.079098598
Duquesne Family Office,2017/2/14,692660360.1,431324277.7,524312034.8,0.101421782
Duquesne Family Office,2017/5/15,1028659065,787731843.2,407517599.6,0.076051856
Duquesne Family Office,2017/8/14,1269011532,704578048,496591285.9,0.081127994
Duquesne Family Office,2017/11/14,1354793888,297655987,310598901,0.104886748
Duquesne Family Office,2018/2/14,1295209133,477250576,632084987,0.121509356
Duquesne Family Office,2018/5/15,1070104062,561170823.1,879829276,0.134924244
Duquesne Family Office,2018/8/14,1627066536,995079599,408100663,0.120837304
Duquesne Family Office,2018/11/14,969619477.8,358815338.2,802538952.8,0.063634672
Duquesne Family Office,2019/2/14,1247828113,456671459.3,207261281.4,0.066662924
Duquesne Family Office,2019/5/15,2909924689,1712649278,183108540.8,0.088820111
Duquesne Family Office,2019/8/14,3057518159,565515992.9,478241580.8,0.088478284
Duquesne Family Office,2019/11/14,2965458356,991870860.6,1167058266,0.090936056
Duquesne Family Office,2020/2/14,3732457004,1196585389,1044639315,0.153613999
Duquesne Family Office,2020/5/15,2533445650,706941620.3,951478415.4,0.030645839
Duquesne Family Office,2020/8/14,2875615880,1249878550,1393974761,0.085200287
Duquesne Family Office,2020/11/16,3009995871,608985450.6,850032473.8,0.113938567
Duquesne Family Office,2021/2/16,3299304703,914550184.1,1151746435,0.146946112
Duquesne Family Office,2021/5/17,3123904736,963420493.6,909611817.8,0.123858943
Duquesne Family Office,2021/8/16,2737738808,539676429.5,1201309607,0.135554439
Duquesne Family Office,2021/11/15,1999268962,680652409.5,1539971223,0.137445944
Duquesne Family Office,2022/2/14,1688128451,497203218.1,408641612.7,0.110417072
Duquesne Family Office,2022/5/16,1360757575,414352519.4,398571417.5,0.085926164
Duquesne Family Office,2022/8/15,1465876259,305112477.8,392144071.2,0.096227411
Duquesne Family Office,2022/11/14,1819677953,727877936.9,345289265.8,0.092516644
Duquesne Family Office,2023/2/14,2018132165,834091424.7,590785022.3,0.087540181
Duquesne Family Office,2023/5/15,2149449161,775507713.1,818196820.8,0.094766301
